File_hash,Type,Action,Comments
0018013029E666E6CA50073272107BADABEC4049740AB5D6035E74F6DCEF31F0,SHA256,Quarantine,0018013029E666E6CA50073272107BADABEC4049740AB5D6035E74F6DCEF31F0_SHA256
00207f167471b0725354aea90ca79b1bc0769d30546b349cbd6b29f4b6e86d12,SHA256,Quarantine,20231214_0008010900130_SHA256
002c9e0578a8b76f626e59b755a8aac18b5d048f1cc76e2c12f68bc3dd18b124,SHA256,Quarantine,20240430_0008010900180_SHA256
00300381185e5af687e6763d45ce0f0fd56c85a5d057e11ab9fac823079ec5eb,SHA256,Quarantine,20231024_00080202300823_SHA256
0034BA838232BE70F549C8EA4AD56F2742534D1696BDFFB70F3A57D12D234836,SHA256,Quarantine,20231122_00080202300990_SHA256
0040c8feb62825c8ba5edbff5385a86a,MD5,Quarantine,20240325_00080202400427_MD5
004C06779B7AA854C078E655F92DDC173275D025046742232E6DF98A69B51D6B,SHA256,Quarantine,004C06779B7AA854C078E655F92DDC173275D025046742232E6DF98A69B51D6B_SHA256
00511b3560058e8e2b5efbc28c355816,MD5,Quarantine,00511b3560058e8e2b5efbc28c355816_MD5
005297f5e128864c6c51285a6f9db628,MD5,Quarantine,005297f5e128864c6c51285a6f9db628_MD5
0057b4f9b9c8e0933738916a0ed95aba,MD5,Quarantine,20240325_00080202400426_MD5
00592E8DC7023D02925D6297FA4AF4D5F990F5CEEC4C7A18DC755C665ADB9E5F,SHA256,Quarantine,20250224_00080202500219_SHA256
00597f74f34785adf71b699d744384fceab814f32c1ea635adeff737712ffe0a,SHA256,Quarantine,00597f74f34785adf71b699d744384fceab814f32c1ea635adeff737712ffe0a_SHA256
00647653f805433d148e059d6a29c680,MD5,Quarantine,20240125_00080202301349_MD5
006BE59E060F01C3D463E615E0F3389F,MD5,Quarantine,20240125_00080202400143_MD5
007297CA44652B2ACA3A7503726A9E3C7F281C30694234702CAB3B5F80A435C7,SHA256,Quarantine,007297CA44652B2ACA3A7503726A9E3C7F281C30694234702CAB3B5F80A435C7_SHA256
0087CAB21EBE86BA461D8EDAF475EB41A2D3C00900A972F8D25F090058237C44,SHA256,Quarantine,20241204_00080202402126_SHA256
0095834EA270DE766118421850907719A400928E953CD32E676BE9297278BE5D,SHA256,Quarantine,20240903_00080202401541_SHA256
00ADBF071F100C1F39047662357537F7,MD5,Quarantine,00ADBF071F100C1F39047662357537F7MD5
00B4B4B525EF3DA44EA51BDA905A6E32E9AC62D69C25D2F78416A75C354D33F5,SHA256,Quarantine,20250625_00080202500974_SHA256
00C034C2F69702AA303F132DE1350594746D47CCC94B8A63DB203756C7540D79,SHA256,Quarantine,20250417_00080202500176_SHA256
00C4EB16522BAF40DCF44672ED9C34404D863E4C150008093B93484548C9E0E8,SHA256,Quarantine,20250224_00080202500219_SHA256
00c981211357d7015fb713c055e6621b9a8571ceff87e937887d0a9e738c508c,SHA256,Quarantine,20231024_00080202300494_SHA256
00D4A71CE80331B6BCFA2E0BBA885D3E,MD5,Quarantine,00D4A71CE80331B6BCFA2E0BBA885D3E_MD5
00D590B99411781B4009DE5BF470ECE8,MD5,Quarantine,20240219_00080202400332_MD5
00d9ec2e8c927044f5d81845c2a5ba520a0beb27da02e3fb114151af3c71430e,SHA256,Quarantine,20231214_0008010900130_SHA256
00e33b79e616e7bdc1e083814d519a501c68712dbceca791dcc2ddb26b45827f,SHA256,Quarantine,20240827_00080202401289_SHA256
00EA3EC1222E0725209BC09A95EE58DA,MD5,Quarantine,20240219_00080202400332_MD5
00ec18a18e5816731a60f69bcbe7c9296ae4084e5e390e8b545d475e1a37c7d9,SHA256,Quarantine,20231031_00080202300866_00080202300890_00080202301082_SHA256
00f1a48caded32bbe93de2b4c94129a73006a135b4eb408d32be3beedc1b0763,SHA256,Quarantine,00f1a48caded32bbe93de2b4c94129a73006a135b4eb408d32be3beedc1b0763_SHA256
00FBF46201EA90DB5288100B397205A3E44AEC28AD39EA87C577373C7529A5B4,SHA256,Quarantine,20240528_00080202400848_SHA256
00fd996a4830d5a30292399844e879ffb902d2bc365eabdeb6b7f8476b67bbb0,SHA256,Quarantine,00fd996a4830d5a30292399844e879ffb902d2bc365eabdeb6b7f8476b67bbb0sha256
01013997ba1f514492476fa3c203daa94cfc9fde65ec33333a093236bb3f47dc,SHA256,Quarantine,20231024_00080202300494_SHA256
010e6f036b5ca248235e9884318c1229,MD5,Quarantine,20240502_00080202400626_MD5
012064834B4140C1B18F20C53149C0CC9F4ADA040813DAABC42B1F6E9555A7B6,SHA256,Quarantine,20250926_00080202501365_SHA256
012b08102596057a6c4e0ce95bf909e0115210815f053e83bd919260d90005d4,SHA256,Quarantine,20240827_00080202401237_SHA256
0134622DBAC8E76F36A9A1CB28CB20C77608CB800E9D8D90931E6499DA6F3A6F,SHA256,Quarantine,20250729_00080202501205_SHA256
0136BBD8FE833656BF193C7B2004AA90,MD5,Quarantine,0136BBD8FE833656BF193C7B2004AA90_MD5
013c7708f1343d684e3571453261b586,MD5,Quarantine,013c7708f1343d684e3571453261b586_MD5
013C8EC1643DAEF0583584D65F1B31D1,MD5,Quarantine,013C8EC1643DAEF0583584D65F1B31D1_MD5
013E4B5059FCBA676987EF5B87C2A76DD9D578044D9D4205C3464C08029EBBA9,SHA256,Quarantine,013E4B5059FCBA676987EF5B87C2A76DD9D578044D9D4205C3464C08029EBBA9_SHA256
